City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Klaksvik,FO,64,1551500400,93,62.23,-6.59,44.6,9.17
Half Moon Bay,US,90,1551502932,66,37.46,-122.43,55.4,6.51
Port Elizabeth,US,90,1551502725,100,39.31,-74.98,39.0,9.17
Dikson,RU,68,1551502942,97,73.51,80.55,-0.55,12.55
Ushuaia,AR,75,1551499200,93,-54.81,-68.31,48.2,4.7
Kapaa,US,1,1551502895,53,22.08,-159.32,73.4,13.87
Chimore,BO,88,1551502943,97,-16.98,-65.13,71.72,1.92
Hilo,US,90,1551502711,56,19.71,-155.08,71.6,9.17
Port Hawkesbury,CA,1,1551502901,57,45.62,-61.36,23.0,8.05
Chokurdakh,RU,76,1551502815,68,70.62,147.9,-9.6,13.0
Husavik,CA,0,1551502804,84,50.56,-96.99,-3.0,3.0
Hermanus,ZA,48,1551502860,89,-34.42,19.24,66.99,1.99
Cherskiy,RU,68,1551502855,67,68.75,161.3,-9.64,7.18
Norman Wells,CA,5,1551499200,54,65.28,-126.83,1.4,19.46
Nyurba,RU,68,1551502944,73,63.29,118.35,17.18,3.71
Geraldton,CA,75,1551499200,71,49.72,-86.95,3.2,2.24
Fortuna,ES,20,1551502880,93,38.18,-1.13,55.99,5.82
Albany,US,90,1551502705,68,42.65,-73.75,30.0,3.36
Fort Nelson,CA,5,1551499200,75,58.81,-122.69,-14.81,4.7
Darnah,LY,92,1551502946,100,32.77,22.64,58.99,20.27
Georgetown,GY,40,1551499200,94,6.8,-58.16,73.4,3.36
Marzuq,YE,0,1551502950,35,14.4,46.47,75.14,5.17
Benavente,PT,75,1551502895,93,38.98,-8.82,57.99,8.05
Castro,CL,90,1551499200,87,-42.48,-73.76,51.8,3.36
Constitucion,MX,0,1551502956,51,23.99,-104.67,53.0,7.63
Cervia,IT,36,1551502946,93,44.26,12.35,46.0,3.36
Yellowknife,CA,5,1551502374,62,62.45,-114.38,-16.01,8.05
Cape Town,ZA,75,1551502652,82,-33.93,18.42,69.01,4.7
Vila Velha,BR,40,1551502689,94,-3.71,-38.6,77.0,3.36
Puerto Ayora,EC,8,1551502957,100,-0.74,-90.35,80.45,6.17
Khatanga,RU,0,1551502757,62,71.98,102.47,-13.78,2.93
Imeni Poliny Osipenko,RU,36,1551502958,57,52.42,136.49,25.82,3.38
Mataura,NZ,0,1551502204,70,-46.19,168.86,62.01,7.0
Terrassa,ES,36,1551502942,100,41.57,2.01,55.0,1.12
Sisimiut,GL,68,1551502962,80,66.94,-53.67,5.26,1.92
Muisne,EC,88,1551502962,93,0.61,-80.02,70.91,2.37
Kaeo,NZ,0,1551501485,68,-35.1,173.78,75.99,11.99
Pevek,RU,56,1551502891,63,69.7,170.27,3.19,2.71
Mar del Plata,AR,24,1551502962,93,-46.43,-67.52,54.53,2.26
Port Alfred,ZA,68,1551502838,83,-33.59,26.89,66.99,1.99
Ust-Kan,RU,48,1551502963,81,50.93,84.77,31.63,2.59
Ghanzi,BW,24,1551502963,70,-21.7,21.65,71.63,4.5
Sorland,NO,48,1551502963,100,67.67,12.69,34.51,20.27
Ostrovnoy,RU,20,1551502788,86,68.05,39.51,11.15,10.98
Bathsheba,BB,20,1551499200,78,13.22,-59.52,77.0,21.92
Provideniya,RU,0,1551502964,91,64.42,-173.23,26.09,13.33
Puerto Escondido,MX,5,1551498000,74,15.86,-97.07,78.8,5.82
Punta Arenas,CL,40,1551502395,87,-53.16,-70.91,50.0,12.75
Atuona,PF,0,1551502965,100,-9.8,-139.03,80.99,7.74
Busselton,AU,20,1551502843,23,-33.64,115.35,77.0,11.21
Aksarka,RU,56,1551502965,63,66.56,67.8,-3.97,3.83
Carnarvon,ZA,0,1551502965,55,-30.97,22.13,59.3,2.93
Portland,US,20,1551502720,69,45.52,-122.67,41.0,12.75
Port Augusta,AU,0,1551502563,11,-32.49,137.76,104.0,5.82
Iqaluit,CA,20,1551502371,69,63.75,-68.52,-11.01,19.46
Bilma,NE,8,1551502742,23,18.69,12.92,58.99,9.31
Eenhana,NA,20,1551499200,87,-17.48,16.34,60.8,7.85
Salalah,OM,0,1551498600,78,17.01,54.1,75.2,2.24
Topchikha,RU,40,1551501000,92,52.82,83.12,30.2,4.38
Saskylakh,RU,24,1551502814,25,71.97,114.09,-17.92,3.15
Sao Filipe,CV,0,1551502967,92,14.9,-24.5,70.64,18.03
Minot,US,1,1551502805,70,48.23,-101.3,1.99,24.16
Mahebourg,MU,75,1551502739,79,-20.41,57.7,84.2,11.41
Arraial do Cabo,BR,92,1551502968,100,-22.97,-42.02,72.35,4.61
Hobart,AU,0,1551502735,37,-42.88,147.33,100.0,20.8
Jamestown,AU,0,1551502756,21,-33.21,138.6,96.61,6.17
Nantucket,US,90,1551502944,86,41.28,-70.1,35.6,10.29
Kenai,US,1,1551502924,73,60.55,-151.26,24.8,2.93
Upernavik,GL,32,1551502969,100,72.79,-56.15,0.98,8.86
Luderitz,NA,0,1551502969,86,-26.65,15.16,60.79,14.0
Butaritari,KI,80,1551502969,100,3.07,172.79,82.52,11.77
Cidreira,BR,0,1551502896,92,-30.17,-50.22,70.33,11.21
Valdivia,CL,20,1551499200,87,-39.81,-73.25,50.0,3.49
Avarua,CK,64,1551501000,79,-21.21,-159.78,84.2,2.24
Amapa,HN,20,1551499200,83,15.09,-87.97,77.0,1.92
Dudinka,RU,80,1551502970,86,69.41,86.18,13.13,21.5
Qaanaaq,GL,8,1551502970,70,77.48,-69.36,-16.8,6.85
Rikitea,PF,92,1551502971,100,-23.12,-134.97,77.89,13.44
Sobolevo,RU,56,1551502911,78,54.43,31.9,15.16,11.43
Tiksi,RU,32,1551502914,70,71.64,128.87,-2.22,3.6
Whitehorse,CA,20,1551502819,62,60.72,-135.06,19.4,14.99
Tasiilaq,GL,88,1551502821,100,65.61,-37.64,19.61,22.5
Acapulco,MX,40,1551498300,83,16.86,-99.88,78.8,9.17
Ottumwa,US,90,1551502693,74,41.02,-92.41,30.2,6.93
Huilong,CN,92,1551502972,96,28.89,110.18,43.73,3.27
Carutapera,BR,88,1551502972,98,-1.2,-46.02,76.13,3.49
Pundaguitan,PH,48,1551502973,90,6.37,126.17,83.06,5.39
Talnakh,RU,76,1551502973,84,69.49,88.39,13.4,20.04
Shuangyang,CN,32,1551502976,78,25.0,118.61,68.89,3.04
Lingyuan,CN,0,1551502976,42,41.24,119.4,56.6,8.19
Chuy,UY,0,1551502931,72,-33.69,-53.46,70.82,16.13
Barrow,AR,88,1551502755,74,-38.31,-60.23,61.91,21.05
Bojkovice,CZ,24,1551502929,80,49.04,17.81,33.01,3.36
Victoria,BN,40,1551501000,58,5.28,115.24,87.8,5.82
Oussouye,SN,0,1551502977,75,12.49,-16.54,70.51,14.67
Airai,TL,92,1551502978,90,-8.93,125.41,75.46,2.26
Bethel,US,90,1551501240,100,60.79,-161.76,33.8,8.05
Narsaq,GL,48,1551498600,27,60.91,-46.05,39.2,18.34
Iralaya,HN,68,1551502982,82,15.0,-83.23,79.1,8.75
Iskateley,RU,0,1551502991,64,67.68,53.15,-0.46,13.22
Kupang,ID,48,1551502991,100,-10.16,123.6,81.08,2.15
Carballo,ES,0,1551502952,93,43.21,-8.69,53.01,8.05
Los Llanos de Aridane,ES,36,1551502804,67,28.66,-17.92,62.6,10.29
Moose Factory,CA,90,1551499200,84,51.26,-80.61,6.8,5.82
Hithadhoo,MV,8,1551502750,100,-0.6,73.08,83.33,11.77
East London,ZA,20,1551499200,82,-33.02,27.91,68.0,5.82
Bredasdorp,ZA,56,1551502827,87,-34.53,20.04,63.0,3.36
Kavaratti,IN,0,1551502993,100,10.57,72.64,82.25,5.61
Nikolskoye,RU,0,1551502534,67,59.7,30.79,23.0,8.95
Lerwick,GB,88,1551502200,93,60.15,-1.15,44.6,10.29
Thompson,CA,75,1551499200,75,55.74,-97.86,-13.01,4.7
Vaini,IN,0,1551499200,16,15.34,74.49,84.2,5.82
New Norfolk,AU,0,1551502735,32,-42.78,147.06,100.0,20.8
Krasnoborsk,RU,36,1551502994,87,61.56,45.93,11.38,2.82
Ribeira Grande,PT,92,1551502995,91,38.52,-28.7,62.41,23.51
Panaba,MX,0,1551502995,77,21.28,-88.27,72.76,4.61
Bambous Virieux,MU,75,1551502739,79,-20.34,57.76,84.2,11.41
San Quintin,PH,12,1551502995,53,17.54,120.52,83.56,6.4
Londa,IT,75,1551502992,100,43.86,11.57,46.0,2.24
Esperance,TT,24,1551502826,83,10.24,-61.45,75.2,6.4
Sambava,MG,20,1551502996,100,-14.27,50.17,81.35,7.07
Bluff,AU,92,1551502996,38,-23.58,149.07,88.24,13.44
Shenjiamen,CN,92,1551502996,100,29.96,122.3,48.95,14.56
Lavrentiya,RU,0,1551502996,77,65.58,-170.99,19.21,10.65
Tual,ID,56,1551502780,100,-5.67,132.75,82.52,11.21
Balkanabat,TM,64,1551503000,87,39.51,54.36,43.24,9.64
Kodiak,US,40,1551502969,45,39.95,-94.76,32.0,12.75
Greenville,US,1,1551502857,100,34.85,-82.4,57.0,6.93
Athabasca,CA,8,1551502817,67,54.72,-113.29,-16.08,3.04
Caravelas,BR,92,1551503004,100,-17.73,-39.27,82.97,15.12
Torbay,CA,90,1551502947,62,47.66,-52.73,21.0,21.92
Ban Nahin,LA,8,1551503004,56,18.24,104.21,89.14,3.04
Kailua,US,20,1551502997,94,21.39,-157.74,73.4,11.41
Horsham,AU,0,1551503005,36,-36.71,142.2,92.06,10.76
Ancud,CL,90,1551499200,87,-41.87,-73.83,51.8,3.36
Riyadh,SA,0,1551499200,45,24.63,46.72,46.4,4.7
Praya,ID,75,1551501000,74,-8.71,116.27,86.0,9.17
Saint Anthony,US,1,1551502967,79,43.97,-111.68,30.2,5.82
Les Cayes,HT,48,1551503006,100,18.19,-73.75,76.99,10.09
Ponta do Sol,BR,48,1551502794,96,-20.63,-46.0,65.87,2.15
Lebu,ET,0,1551503006,55,8.96,38.73,62.59,3.94
Teeli,RU,8,1551503006,73,51.01,90.2,26.23,3.04
Tomatlan,MX,92,1551503006,96,19.93,-105.25,70.64,2.37
Poum,MK,76,1551503007,80,41.28,20.71,26.81,1.92
College,US,1,1551502516,85,64.86,-147.8,19.4,2.59
Cap-aux-Meules,CA,24,1551502936,92,47.38,-61.86,13.99,15.68
Yar-Sale,RU,64,1551503016,91,66.83,70.83,0.94,2.71
Springdale,US,90,1551502992,83,36.19,-94.13,37.99,5.82
Chapais,CA,1,1551499200,84,49.78,-74.86,1.4,2.59
Mahon,IE,40,1551502789,100,51.89,-8.4,50.0,8.05
